0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,0
19,0
20,0
21,0
22,0
23,4
24,4
25,28
26,28
27,2
28,2
29,11
30,11
31,7
32,25
33,25
34,25
35,25
36,25
37,25
38,7
39,7
40,7
41,25
42,25
43,25
44,8
45,8
46,7
47,7
48,7
49,7
50,8
51,8
52,8
53,7
54,7
55,7
56,7
57,7
58,7
59,7
60,25
61,25
62,25
63,24
64,30
65,30
66,31
67,31
68,20
69,31
70,31
71,31
72,20
73,11
74,14
75,19
76,19
77,34
78,23
79,23
80,6
81,6
82,6
83,7
84,7
85,7
86,7
87,7
88,7
89,7
90,7
91,14
92,24
93,24
94,34
95,18
96,18
97,15
98,2
99,13
100,26
101,14
102,14
103,14
104,3
105,19
106,19
107,4
108,4
109,28
110,28
111,2
112,2
113,14
114,14
115,20
116,18
117,29
118,21
119,21
120,5
121,25
122,25
123,25
124,7
125,25
126,25
127,25
128,25
129,25
130,25
131,33
132,6
133,7
134,7
135,7
136,7
137,8
138,8
139,8
140,8
141,8
142,8
143,8
144,7
145,5
146,14
147,24
148,34
149,18
150,23
151,15
152,26
153,9
154,33
155,33
156,33
157,15
158,6
159,6
160,6
161,6
162,25
163,25
164,25
165,25
166,25
167,25
168,25
169,7
170,7
171,5
172,25
173,25
174,17
175,17
176,17
177,18
178,22
179,6
180,6
181,6
182,7
183,7
184,5
185,25
186,7
187,7
188,8
189,8
190,8
191,29
192,29
193,12
194,18
195,23
196,23
197,6
198,6
199,6
200,6
201,6
202,7
203,7
204,7
205,7
206,7
207,7
208,7
209,7
210,7
211,7
212,25
213,25
214,7
215,7
216,7
217,7
218,5
219,14
220,14
221,24
222,3
223,19
224,4
225,4
226,28
227,28
228,2
229,2
230,14
231,10
232,29
233,29
234,17
235,23
236,6
237,6
238,6
239,6
240,6
241,25
242,25
243,25
244,14
245,14
246,24
247,3
248,3
249,19
250,4
251,4
252,0
253,4
254,23
255,28
256,28
257,2
258,11
259,14
260,29
261,29
262,5
263,5
264,25
265,17
266,7
267,7
268,25
269,25
270,25
271,25
272,25
273,25
274,25
275,17
276,33
277,33
278,9
279,9
280,9
281,3
282,32
283,32
284,32
285,3
286,3
287,4
288,4
289,4
290,0
291,0
292,4
293,23
294,28
295,2
296,2
297,14
298,32
299,19
300,4
301,4
302,0
303,0
304,0
305,0
306,0
307,0
308,0
309,0
310,0
